Date,Time,Tree_Number,LWP_(MPa),Quality_Notes
7/21/21,5:22,6,-0.04,NA
7/21/21,13:50,6,-1.19,NA
7/21/21,13:52,6,-0.62,NA
7/21/21,13:54,6,-1.22,NA
7/10/21,15:54,3,-1.07,NA
7/10/21,15:56,5,-1.28,NA
7/10/21,16:00,1,-1.02,NA
7/16/21,8:53,1,-0.84,NA
7/16/21,8:56,2,-1.18,NA
7/16/21,8:58,3,-1.37,NA
7/16/21,9:02,4,-1.12,NA
7/16/21,9:03,5,-1.15,NA
7/16/21,9:05,6,-0.85,NA
7/16/21,9:07,1,-0.75,NA
7/16/21,9:09,2,-1.1,NA
7/16/21,9:12,3,-1.18,NA
7/16/21,9:14,4,-1.19,NA
7/16/21,9:16,5,-1.2,NA
7/16/21,9:18,6,-0.98,NA
7/15/21,11:24,4,-1.21,NA
7/15/21,11:27,5,-1.22,NA
7/15/21,11:31,6,-1.1,NA
7/15/21,13:34,1,-0.89,NA
7/15/21,13:37,2,-1.34,NA
7/15/21,13:40,3,-1.06,NA
7/15/21,13:42,4,-1.13,NA
7/15/21,13:45,5,-1.36,NA
7/15/21,13:48,6,-1.17,NA
7/15/21,13:51,1,-0.87,NA
7/15/21,13:53,2,-1.15,NA
7/15/21,13:56,2,-1.29,NA
7/15/21,13:58,3,-1.14,NA
7/15/21,14:01,4,-1.15,NA
7/15/21,14:03,5,-1.27,NA
7/15/21,14:06,6,-1.11,NA
7/12/21,13:45,2,-1.3,NA
7/12/21,13:48,4,-1.14,NA
7/12/21,13:51,6,-1.02,NA
7/12/21,13:53,5,-1.24,NA
7/12/21,13:56,3,-1.24,NA
7/12/21,13:58,1,-0.68,NA
7/15/21,10:59,1,-0.98,NA
7/15/21,11:01,2,-1.26,NA
7/15/21,11:04,3,-1.17,NA
7/15/21,11:07,4,-1.27,NA
7/15/21,11:09,5,-1.22,NA
7/15/21,11:12,6,-1.18,NA
7/15/21,11:15,1,-1.07,NA
7/15/21,11:18,2,-1.2,NA
7/15/21,11:21,3,-1.18,NA
7/16/21,13:22,1,-0.09,NA
7/16/21,13:24,2,-0.08,NA
7/16/21,13:25,3,-0.06,NA
7/16/21,13:27,4,-0.04,NA
7/16/21,13:28,5,-0.09,NA
7/16/21,13:30,6,-0.07,NA
7/16/21,13:32,1,-0.04,NA
7/16/21,13:33,2,-0.05,NA
7/16/21,13:35,3,-0.06,NA
7/16/21,13:37,4,-0.05,NA
7/16/21,13:38,5,-0.07,NA
7/16/21,13:40,6,-0.07,NA
7/20/21,13:37,1,-1.37,NA
7/20/21,13:40,2,0,cut end wet
7/20/21,13:43,3,-0.33,NA
7/20/21,13:47,4,-1.15,NA
7/20/21,13:49,5,-0.66,NA
7/20/21,13:53,6,-1.34,NA
