Serial Number:,PSY1E40Z
APP Serial #:,0300094F
Head Serial #:,1960
App Ver:,R1-7-8
COM Ver:,R2-5-0
Instrument Name:,ICT PSYCHROMETER 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,15,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
13/07/2021,17:40:00,17.17,-0.743,4.366,-1.61,0.38,-3.40,-0.458,-0.10,8.484,4.20,26.60 ,present ,12.56 ,51.00 ,
13/07/2021,17:50:00,17.04,-0.845,4.335,-1.62,0.38,-3.40,-0.472,-0.11,8.488,4.20,26.40 ,present ,12.63 ,50.70 ,
13/07/2021,18:00:00,16.95,-0.571,4.419,-1.62,0.38,-3.40,-0.406,-0.07,8.491,4.21,26.10 ,present ,12.63 ,50.70 ,
13/07/2021,18:10:00,16.88,-0.798,4.266,-1.60,0.38,-3.40,-0.467,-0.11,8.495,4.20,26.10 ,present ,12.60 ,51.30 ,
13/07/2021,18:20:00,16.78,-0.706,4.304,-1.61,0.38,-3.40,-0.518,-0.09,8.499,4.20,26.00 ,present ,12.60 ,51.00 ,
13/07/2021,18:30:00,16.67,-0.824,4.233,-1.60,0.38,-3.40,-0.539,-0.11,8.503,4.20,25.80 ,present ,12.63 ,51.00 ,
13/07/2021,18:40:00,16.55,-0.895,4.073,-1.56,0.38,-3.40,-0.489,-0.12,8.506,4.20,25.60 ,present ,12.56 ,51.00 ,
13/07/2021,18:50:00,16.40,-0.945,4.052,-1.57,0.38,-3.40,-0.501,-0.13,8.510,4.20,25.00 ,present ,12.59 ,50.70 ,
13/07/2021,19:00:00,16.25,-0.967,3.955,-1.54,0.38,-3.40,-0.495,-0.13,8.518,4.20,24.80 ,present ,12.56 ,51.00 ,
13/07/2021,19:10:00,16.12,-0.689,4.071,-1.55,0.38,-3.40,-0.498,-0.09,8.521,4.20,24.70 ,present ,12.56 ,50.70 ,
13/07/2021,19:20:00,16.02,-0.640,4.181,-1.60,0.38,-3.40,-0.652,-0.08,8.525,4.20,24.90 ,present ,12.60 ,51.00 ,
13/07/2021,19:30:00,15.94,-0.604,4.194,-1.60,0.38,-3.40,-0.480,-0.08,8.529,4.21,24.90 ,present ,12.56 ,50.70 ,
13/07/2021,19:40:00,15.85,-0.735,4.077,-1.58,0.38,-3.40,-0.404,-0.10,8.533,4.20,24.80 ,present ,12.56 ,51.00 ,
13/07/2021,19:50:00,15.74,-0.782,3.949,-1.54,0.38,-3.40,-0.378,-0.10,8.536,4.20,24.70 ,present ,12.59 ,50.70 ,
13/07/2021,20:00:00,15.58,-0.648,3.963,-1.54,0.38,-3.40,-0.479,-0.09,8.544,4.20,24.50 ,present ,12.63 ,50.40 ,
13/07/2021,20:10:00,15.48,-0.780,3.960,-1.56,0.38,-3.40,-0.464,-0.10,8.548,4.20,24.20 ,present ,12.52 ,51.00 ,
13/07/2021,20:20:00,15.35,-0.703,3.981,-1.57,0.38,-3.40,-0.430,-0.09,8.551,4.20,24.20 ,present ,12.56 ,51.00 ,
13/07/2021,20:30:00,15.24,-0.612,3.927,-1.54,0.38,-3.40,-0.420,-0.08,8.555,4.20,24.00 ,present ,12.63 ,51.00 ,
13/07/2021,20:40:00,15.13,-0.651,3.996,-1.58,0.38,-3.40,-0.479,-0.09,8.559,4.20,24.10 ,present ,12.63 ,50.70 ,
13/07/2021,20:50:00,15.03,-0.754,3.985,-1.59,0.38,-3.40,-0.526,-0.10,8.563,4.20,24.10 ,present ,12.63 ,51.00 ,
13/07/2021,21:00:00,14.94,-0.609,3.996,-1.58,0.38,-3.40,-0.459,-0.08,8.566,4.20,24.00 ,present ,12.63 ,50.40 ,
13/07/2021,21:10:00,14.85,-0.480,4.024,-1.58,0.38,-3.40,-0.527,-0.06,8.570,4.20,23.90 ,present ,12.63 ,51.00 ,
13/07/2021,21:20:00,14.80,-0.473,4.116,-1.62,0.38,-3.40,-0.369,-0.06,8.570,4.20,23.90 ,present ,12.63 ,50.40 ,
13/07/2021,21:30:00,14.75,-0.543,4.119,-1.63,0.38,-3.40,-0.394,-0.07,8.574,4.20,23.90 ,present ,12.59 ,50.70 ,
13/07/2021,21:40:00,14.70,-0.387,4.019,-1.58,0.38,-3.40,-0.327,-0.05,8.574,4.20,24.10 ,present ,12.63 ,50.70 ,
13/07/2021,21:50:00,14.64,-0.386,4.025,-1.58,0.38,-3.40,-0.382,-0.05,8.578,4.20,24.00 ,present ,12.59 ,50.70 ,
13/07/2021,22:00:00,14.57,-0.298,4.088,-1.60,0.38,-3.40,-0.435,-0.04,8.582,4.20,24.00 ,present ,12.63 ,50.70 ,
13/07/2021,22:10:00,14.53,-0.435,4.040,-1.60,0.38,-3.40,-0.395,-0.06,8.582,4.20,24.00 ,present ,12.60 ,51.00 ,
13/07/2021,22:20:00,14.48,-0.457,4.053,-1.61,0.38,-3.40,-0.344,-0.06,8.585,4.20,23.80 ,present ,12.63 ,50.70 ,
13/07/2021,22:30:00,14.41,-0.392,4.022,-1.60,0.38,-3.40,-0.344,-0.05,8.585,4.20,23.90 ,present ,12.63 ,50.70 ,
13/07/2021,22:40:00,14.36,-0.443,4.045,-1.61,0.38,-3.40,-0.415,-0.06,8.589,4.20,23.70 ,present ,12.63 ,51.00 ,
13/07/2021,22:50:00,14.32,-0.384,4.069,-1.62,0.38,-3.40,-0.347,-0.05,8.589,4.20,23.70 ,present ,12.60 ,51.00 ,
13/07/2021,23:00:00,14.29,-0.419,4.040,-1.61,0.38,-3.40,-0.413,-0.05,8.593,4.20,23.80 ,present ,12.63 ,51.00 ,
13/07/2021,23:10:00,14.23,-0.204,4.054,-1.59,0.38,-3.40,-0.323,-0.02,8.593,4.20,23.70 ,present ,12.63 ,50.70 ,
13/07/2021,23:20:00,14.20,-0.156,4.077,-1.60,0.38,-3.40,-0.426,-0.02,8.593,4.20,23.80 ,present ,12.66 ,50.70 ,
13/07/2021,23:30:00,14.16,-0.253,4.064,-1.61,0.38,-3.40,-0.392,-0.03,8.597,4.20,23.80 ,present ,12.59 ,50.40 ,
13/07/2021,23:40:00,14.13,-0.254,4.065,-1.61,0.38,-3.40,-0.397,-0.03,8.597,4.20,23.80 ,present ,12.60 ,51.00 ,
13/07/2021,23:50:00,14.11,-0.196,4.095,-1.62,0.38,-3.40,-0.320,-0.02,8.597,4.20,23.70 ,present ,12.56 ,50.40 ,
14/07/2021,00:00:00,14.09,-0.331,4.032,-1.61,0.38,-3.40,-0.324,-0.04,8.601,4.20,23.70 ,present ,12.63 ,51.00 ,
14/07/2021,00:10:00,14.06,-0.261,4.046,-1.61,0.38,-3.40,-0.410,-0.03,8.601,4.20,23.70 ,present ,12.63 ,51.00 ,
14/07/2021,00:20:00,14.03,-0.292,4.045,-1.61,0.38,-3.40,-0.454,-0.04,8.601,4.20,23.60 ,present ,12.59 ,50.70 ,
14/07/2021,00:30:00,14.00,-0.319,4.026,-1.61,0.38,-3.40,-0.316,-0.04,8.601,4.20,23.70 ,present ,12.59 ,50.70 ,
14/07/2021,00:40:00,13.96,-0.409,3.989,-1.61,0.38,-3.40,-0.300,-0.05,8.604,4.20,23.40 ,present ,12.60 ,51.00 ,
14/07/2021,00:50:00,13.93,-0.312,3.965,-1.59,0.38,-3.40,-0.371,-0.04,8.604,4.20,23.30 ,present ,12.63 ,50.40 ,
14/07/2021,01:00:00,13.88,-0.187,4.018,-1.60,0.38,-3.40,-0.249,-0.02,8.608,4.20,23.40 ,present ,12.56 ,50.40 ,
14/07/2021,01:10:00,13.84,-0.373,3.940,-1.59,0.38,-3.40,-0.335,-0.05,8.608,4.20,23.40 ,present ,12.59 ,50.70 ,
14/07/2021,01:20:00,13.81,-0.239,4.023,-1.61,0.38,-3.40,-0.407,-0.03,8.608,4.20,23.20 ,present ,12.63 ,51.00 ,
14/07/2021,01:30:00,13.77,-0.247,4.003,-1.61,0.38,-3.40,-0.338,-0.03,8.612,4.20,23.40 ,present ,12.60 ,51.00 ,
14/07/2021,01:40:00,13.77,-0.053,4.014,-1.59,0.38,-3.40,-0.374,0.00,8.612,4.20,23.30 ,present ,12.60 ,51.00 ,
14/07/2021,01:50:00,13.75,-0.159,4.055,-1.62,0.38,-3.40,-0.295,-0.02,8.612,4.20,23.40 ,present ,12.63 ,50.40 ,
14/07/2021,02:00:00,13.75,-0.025,4.056,-1.60,0.38,-3.40,-0.270,0.00,8.612,4.20,23.30 ,present ,12.59 ,50.70 ,
14/07/2021,02:10:00,13.73,-0.110,4.056,-1.61,0.38,-3.40,-0.322,-0.01,8.612,4.20,23.50 ,present ,12.63 ,50.70 ,
14/07/2021,02:20:00,13.73,-0.155,4.041,-1.61,0.38,-3.40,-0.284,-0.02,8.612,4.20,23.40 ,present ,12.63 ,50.70 ,
14/07/2021,02:30:00,13.71,-0.210,3.985,-1.60,0.38,-3.40,-0.294,-0.02,8.612,4.20,23.40 ,present ,12.59 ,50.40 ,
14/07/2021,02:40:00,13.69,-0.250,3.999,-1.61,0.38,-3.40,-0.409,-0.03,8.616,4.20,23.20 ,present ,12.59 ,50.70 ,
14/07/2021,02:50:00,13.67,-0.183,4.005,-1.61,0.38,-3.40,-0.354,-0.02,8.616,4.20,23.20 ,present ,12.63 ,50.40 ,
14/07/2021,03:00:00,13.66,-0.141,4.014,-1.60,0.38,-3.40,-0.317,-0.01,8.616,4.20,23.30 ,present ,12.63 ,51.00 ,
14/07/2021,03:10:00,13.64,-0.258,3.992,-1.61,0.38,-3.40,-0.248,-0.03,8.616,4.20,23.30 ,present ,12.56 ,51.00 ,
14/07/2021,03:20:00,13.65,-0.137,4.065,-1.63,0.38,-3.40,-0.343,-0.01,8.616,4.20,23.40 ,present ,12.63 ,51.00 ,
14/07/2021,03:30:00,13.64,-0.259,4.023,-1.63,0.38,-3.40,-0.238,-0.03,8.616,4.20,23.30 ,present ,12.63 ,50.70 ,
14/07/2021,03:40:00,13.62,-0.185,4.016,-1.61,0.38,-3.40,-0.299,-0.02,8.616,4.20,23.20 ,present ,12.63 ,50.40 ,
14/07/2021,03:50:00,13.61,-0.165,3.997,-1.60,0.38,-3.40,-0.245,-0.02,8.616,4.20,23.30 ,present ,12.63 ,51.00 ,
14/07/2021,04:00:00,13.62,-0.150,3.990,-1.60,0.38,-3.40,-0.282,-0.02,8.616,4.20,23.40 ,present ,12.66 ,50.70 ,
14/07/2021,04:10:00,13.61,-0.065,4.040,-1.61,0.38,-3.40,-0.385,0.00,8.616,4.20,23.20 ,present ,12.63 ,51.00 ,
14/07/2021,04:20:00,13.60,-0.113,3.986,-1.59,0.38,-3.40,-0.251,-0.01,8.616,4.20,23.10 ,present ,12.63 ,50.70 ,
14/07/2021,04:30:00,13.60,-0.181,4.085,-1.64,0.38,-3.40,-0.269,-0.02,8.616,4.20,23.20 ,present ,12.59 ,50.40 ,
14/07/2021,04:40:00,13.60,-0.043,4.068,-1.62,0.38,-3.40,-0.367,0.00,8.616,4.20,23.10 ,present ,12.60 ,51.00 ,
14/07/2021,04:50:00,13.58,-0.004,3.999,-1.58,0.38,-3.40,-0.323,0.00,8.620,4.20,23.20 ,present ,12.59 ,50.70 ,
14/07/2021,05:00:00,13.61,-0.123,4.027,-1.61,0.38,-3.40,-0.354,-0.01,8.616,4.20,23.20 ,present ,12.63 ,50.70 ,
14/07/2021,05:10:00,13.60,-0.156,4.058,-1.63,0.38,-3.40,-0.233,-0.02,8.616,4.20,23.30 ,present ,12.63 ,50.40 ,
14/07/2021,05:20:00,13.59,-0.042,4.066,-1.62,0.38,-3.40,-0.407,0.00,8.620,4.20,23.20 ,present ,12.63 ,51.00 ,
14/07/2021,05:30:00,13.58,-0.108,4.046,-1.62,0.38,-3.40,-0.271,-0.01,8.620,4.20,23.20 ,present ,12.59 ,50.40 ,
14/07/2021,05:40:00,13.60,0.038,4.010,-1.58,0.38,-3.40,-0.270,0.00,8.616,4.20,23.20 ,present ,12.63 ,51.00 ,
14/07/2021,05:50:00,13.61,0.089,4.049,-1.59,0.38,-3.40,-0.218,0.01,8.616,4.20,23.30 ,present ,12.63 ,50.70 ,
14/07/2021,06:00:00,13.60,-0.024,4.051,-1.61,0.38,-3.40,-0.241,0.00,8.616,4.20,23.30 ,present ,12.63 ,50.70 ,
14/07/2021,06:10:00,13.65,0.015,4.038,-1.59,0.38,-3.40,-0.319,0.00,8.616,4.20,23.40 ,present ,12.60 ,51.00 ,
14/07/2021,06:20:00,13.63,-0.053,4.092,-1.63,0.38,-3.40,-0.250,0.00,8.616,4.20,23.30 ,present ,12.60 ,51.00 ,
14/07/2021,06:30:00,13.64,0.017,4.063,-1.60,0.38,-3.40,-0.336,0.00,8.616,4.20,23.30 ,present ,12.63 ,51.00 ,
14/07/2021,06:40:00,13.65,-0.012,4.096,-1.62,0.38,-3.40,-0.367,0.00,8.616,4.20,23.40 ,present ,12.63 ,50.70 ,
14/07/2021,06:50:00,13.67,0.012,4.163,-1.65,0.38,-3.40,-0.296,0.00,8.616,4.20,23.40 ,present ,12.63 ,51.00 ,
14/07/2021,07:00:00,13.70,-0.021,4.132,-1.64,0.38,-3.40,-0.352,0.00,8.612,4.20,23.40 ,present ,12.59 ,50.40 ,
14/07/2021,07:10:00,13.75,0.101,4.164,-1.63,0.38,-3.40,-0.385,0.01,8.612,4.20,23.50 ,present ,12.60 ,51.00 ,
14/07/2021,07:20:00,13.77,-0.077,4.148,-1.65,0.38,-3.40,-0.274,-0.01,8.612,4.20,23.50 ,present ,12.66 ,50.70 ,
14/07/2021,07:30:00,13.80,-0.004,4.170,-1.64,0.38,-3.40,-0.223,0.00,8.608,4.20,23.70 ,present ,12.59 ,50.70 ,
14/07/2021,07:40:00,13.83,0.057,4.161,-1.63,0.38,-3.40,-0.280,0.00,8.608,4.20,23.70 ,present ,12.63 ,51.00 ,
14/07/2021,07:50:00,13.87,0.016,4.181,-1.64,0.38,-3.40,-0.280,0.00,8.608,4.20,23.70 ,present ,12.63 ,50.40 ,
14/07/2021,08:00:00,13.88,0.060,4.160,-1.62,0.38,-3.40,-0.308,0.00,8.608,4.20,23.70 ,present ,12.60 ,51.00 ,
14/07/2021,08:10:00,13.92,-0.031,4.150,-1.63,0.38,-3.40,-0.342,0.00,8.604,4.20,23.70 ,present ,12.63 ,50.40 ,
14/07/2021,08:20:00,13.90,-0.103,4.103,-1.62,0.38,-3.40,-0.213,-0.01,8.604,4.20,23.60 ,present ,12.59 ,50.70 ,
14/07/2021,08:30:00,13.93,0.064,4.183,-1.63,0.38,-3.40,-0.311,0.00,8.604,4.20,24.00 ,present ,12.63 ,51.00 ,
14/07/2021,08:40:00,13.99,0.050,4.221,-1.64,0.38,-3.40,-0.304,0.00,8.604,4.20,24.10 ,present ,12.63 ,51.00 ,
14/07/2021,08:50:00,14.04,0.050,4.226,-1.64,0.38,-3.40,-0.261,0.00,8.601,4.20,24.20 ,present ,12.62 ,50.10 ,
14/07/2021,09:00:00,14.08,0.065,4.304,-1.67,0.38,-3.40,-0.304,0.00,8.601,4.20,24.30 ,present ,12.63 ,51.00 ,
14/07/2021,09:10:00,14.16,0.054,4.341,-1.68,0.38,-3.40,-0.343,0.00,8.597,4.20,24.40 ,present ,12.59 ,50.70 ,
14/07/2021,09:20:00,14.21,0.143,4.378,-1.68,0.38,-3.40,-0.196,0.02,8.593,4.20,24.50 ,present ,12.59 ,50.70 ,
14/07/2021,09:30:00,14.29,0.255,4.506,-1.71,0.38,-3.40,-0.261,0.03,8.593,4.20,24.70 ,present ,12.60 ,51.00 ,
14/07/2021,09:40:00,14.39,0.278,4.560,-1.72,0.38,-3.40,-0.207,0.03,8.589,4.20,24.90 ,present ,12.60 ,51.00 ,
14/07/2021,09:50:00,14.52,0.305,4.644,-1.75,0.38,-3.40,-0.175,0.04,8.582,4.20,25.00 ,present ,12.63 ,50.40 ,
14/07/2021,10:00:00,14.62,0.202,4.674,-1.76,0.38,-3.40,-0.261,0.02,8.578,4.21,25.40 ,present ,12.59 ,50.70 ,
14/07/2021,10:10:00,14.77,0.415,4.840,-1.79,0.38,-3.40,-0.192,0.05,8.574,4.21,25.80 ,present ,12.60 ,51.30 ,
14/07/2021,10:20:00,15.01,0.779,5.331,-1.92,0.38,-3.40,-0.107,0.10,8.563,4.20,26.30 ,present ,12.67 ,51.30 ,
14/07/2021,10:30:00,15.30,0.767,5.249,-1.87,0.38,-3.40,-0.022,0.10,8.551,4.20,26.60 ,present ,12.63 ,51.30 ,
14/07/2021,10:40:00,15.52,0.760,5.313,-1.88,0.38,-3.40,-0.074,0.10,8.544,4.20,27.00 ,present ,12.60 ,51.00 ,
14/07/2021,10:50:00,15.83,0.766,5.525,-1.94,0.38,-3.40,-0.150,0.10,8.533,4.20,27.50 ,present ,12.67 ,51.00 ,
14/07/2021,11:00:00,16.21,0.942,5.782,-1.98,0.38,-3.40,-0.019,0.13,8.518,4.21,28.50 ,present ,12.63 ,51.30 ,
14/07/2021,11:10:00,16.57,0.667,5.702,-1.96,0.38,-3.40,-0.061,0.09,8.506,4.21,29.30 ,present ,12.64 ,51.60 ,
14/07/2021,11:20:00,16.87,0.222,5.130,-1.79,0.38,-3.40,-0.123,0.03,8.495,4.21,28.90 ,present ,12.60 ,51.00 ,
14/07/2021,11:30:00,16.93,-0.022,5.010,-1.77,0.38,-3.40,-0.185,0.00,8.491,4.21,28.60 ,present ,12.66 ,50.40 ,
14/07/2021,11:40:00,17.05,0.058,4.944,-1.73,0.38,-3.40,-0.205,0.00,8.488,4.21,28.50 ,present ,12.63 ,50.70 ,
14/07/2021,11:50:00,17.13,-0.027,4.961,-1.74,0.38,-3.40,-0.267,0.00,8.484,4.21,28.50 ,present ,12.63 ,50.70 ,
14/07/2021,12:00:00,17.23,0.072,5.108,-1.77,0.38,-3.40,-0.221,0.01,8.480,4.21,28.70 ,present ,12.66 ,50.70 ,
14/07/2021,12:10:00,17.39,0.219,5.243,-1.79,0.38,-3.40,-0.149,0.03,8.476,4.21,29.20 ,present ,12.63 ,51.00 ,
14/07/2021,12:20:00,17.58,0.088,5.372,-1.85,0.38,-3.40,-0.159,0.01,8.469,4.21,29.40 ,present ,12.63 ,51.30 ,
14/07/2021,12:30:00,17.68,0.033,5.205,-1.79,0.38,-3.40,-0.309,0.00,8.465,4.21,29.40 ,present ,12.67 ,51.00 ,
14/07/2021,12:40:00,17.77,-0.027,5.059,-1.74,0.38,-3.40,-0.321,0.00,8.462,4.21,29.20 ,present ,12.63 ,51.00 ,
14/07/2021,12:50:00,17.82,0.138,5.337,-1.81,0.38,-3.40,-0.063,0.01,8.458,4.21,29.60 ,present ,12.67 ,51.30 ,
14/07/2021,13:00:00,17.95,0.051,5.248,-1.78,0.38,-3.40,-0.148,0.00,8.454,4.21,30.00 ,present ,12.60 ,51.00 ,
14/07/2021,13:10:00,18.06,0.118,5.348,-1.80,0.38,-3.40,-0.285,0.01,8.451,4.21,30.50 ,present ,12.63 ,51.00 ,
14/07/2021,13:20:00,18.15,0.063,5.284,-1.78,0.38,-3.40,-0.276,0.00,8.447,4.21,30.70 ,present ,12.56 ,51.30 ,
14/07/2021,13:30:00,18.22,-0.079,5.172,-1.76,0.38,-3.40,-0.175,-0.01,8.443,4.21,31.00 ,present ,12.60 ,51.30 ,
14/07/2021,13:40:00,18.30,-0.182,5.158,-1.76,0.38,-3.40,-0.056,-0.02,8.439,4.21,31.90 ,present ,12.64 ,51.60 ,
14/07/2021,13:50:00,18.40,-0.049,5.301,-1.79,0.38,-3.40,-0.205,0.00,8.436,4.21,32.70 ,present ,12.60 ,51.30 ,
14/07/2021,14:00:00,18.48,0.061,5.402,-1.80,0.38,-3.40,-0.218,0.00,8.436,4.21,33.09 ,present ,12.60 ,51.60 ,
14/07/2021,14:10:00,18.66,-0.031,5.313,-1.77,0.38,-3.40,-0.285,0.00,8.428,4.21,34.00 ,present ,12.64 ,51.60 ,
14/07/2021,14:20:00,18.70,-0.011,5.371,-1.79,0.38,-3.40,-0.203,0.00,8.425,4.21,34.59 ,present ,12.63 ,51.00 ,
14/07/2021,14:30:00,18.87,0.132,5.514,-1.81,0.38,-3.40,-0.125,0.01,8.421,4.21,34.80 ,present ,12.60 ,51.60 ,
14/07/2021,14:40:00,19.00,0.410,5.935,-1.91,0.38,-3.40,-0.177,0.05,8.414,4.21,35.09 ,present ,12.60 ,51.00 ,
14/07/2021,14:50:00,19.23,0.452,6.067,-1.93,0.38,-3.40,-0.060,0.06,8.406,4.21,35.40 ,present ,12.67 ,51.00 ,
14/07/2021,15:00:00,19.39,0.540,6.135,-1.94,0.38,-3.40,-0.044,0.07,8.403,4.21,35.00 ,present ,12.64 ,51.60 ,
14/07/2021,15:10:00,19.69,0.825,6.464,-1.99,0.38,-3.40,0.099,0.11,8.392,4.21,34.59 ,present ,12.63 ,51.30 ,
14/07/2021,15:20:00,19.85,0.883,6.604,-2.02,0.38,-3.40,-0.019,0.12,8.384,4.21,33.90 ,present ,12.63 ,50.70 ,
14/07/2021,15:30:00,19.98,0.763,6.580,-2.02,0.38,-3.40,-0.121,0.10,8.381,4.21,33.30 ,present ,12.63 ,51.00 ,
14/07/2021,15:40:00,20.21,0.576,6.467,-1.99,0.38,-3.40,-0.015,0.07,8.370,4.21,33.09 ,present ,12.60 ,51.00 ,
14/07/2021,15:50:00,20.35,0.138,5.902,-1.85,0.38,-3.40,-0.108,0.01,8.366,4.21,32.09 ,present ,12.63 ,50.70 ,
14/07/2021,16:00:00,20.28,0.040,5.570,-1.75,0.38,-3.40,-0.252,0.00,8.370,4.21,31.40 ,present ,12.63 ,50.70 ,
14/07/2021,16:10:00,20.24,-0.273,5.245,-1.69,0.38,-3.40,-0.383,-0.03,8.370,4.21,30.80 ,present ,12.59 ,50.70 ,
14/07/2021,16:20:00,20.12,-0.399,4.961,-1.62,0.38,-3.40,-0.454,-0.05,8.373,4.21,30.70 ,present ,12.63 ,50.70 ,
